operator,group,year,oil
Anadarko,Anadarko,2021,"17,532,615"
BHP,BHP,2021,"2,667,777"
Bois,Bois,2021,"25,593,821"
Shell,Cantium,2021,"8,481,544"
Deep,Deep,2021,"3,683,509"
Eni,Eni,2021,"8,324,213"
EPL,EPL,2021,"3,855,432"
Flextrend,Flextrend,2021,"7,392,592"
High Point,High Point,2021,"40,249,417"
Marathon,Marathon,2021,"5,840,775"
Anadarko,Anadarko,2020,144256326
ANKOR,ANKOR,2020,108658035
Apache,Apache,2020,65423821
Shell,Shell,2020,51134521
Beacon,Beacon,2020,28514996
BHP,BHP,2020,27211064
Apache,Apache,2020,25973471
Deep,Deep,2020,16260827
Deep,Deep,2020,14260827
Bois,Bois,2020,15922384
Bois,Bois,2020,13997661
Anadarko,Anadarko,2019,74873461
BHP,BHP,2019,116674777
BHP,BHP,2019,18644634
Byron,Byron,2019,68146715
Deep,Deep,2019,23627701
EnVen,EnVen,2019,26942185
Exxon,Exxon,2019,25503655
Hess,Hess,2019,19073631
MC,MC,2019,156963069
MOBIL,MOBIL,2019,33332292
Anadarko,Anadarko,2018,73170409
BHP,BHP,2018,23112468
BP,BP,2018,121900061
Chevron,Chevron,2018,56555554
Fieldwood,Fieldwood,2018,21680950
Hess,Hess,2018,19245270
Kosmos,Kosmos,2018,12101205
LLOG,LLOG,2018,22863324
Shell,Shell,2018,128077654
Union,Union,2018,36144247
