operator,group,year,gas
Anadarko,Anadarko,2018,63459860
Anadarko,Anadarko,2019,70893664
Anadarko,Anadarko,2020,57499245
Anadarko,Anadarko,2021,48290690
ANKOR,ANKOR,2021,18678223
Apache,Apache,2021,15388591
Beacon,Beacon,2021,18492912
BHP,BHP,2018,95778361
BHP,BHP,2021,15048439
Bois,Bois,2019,87730731
Bois,Bois,2020,79237340
Bois,Bois,2021,9026553
Byron,Byron,2018,33142657
Byron,Byron,2021,10300731
Deep,Deep,2018,83160019
Deep,Deep,2020,39500110
Eni,Eni,2018,47268731
Eni,Eni,2020,55494610
EPL,EPL,2018,63083439
EPL,EPL,2019,59335523
Flextrend,Flextrend,2020,55652395
High Point,High Point,2018,204129702
High Point,High Point,2019,244433872
High Point,High Point,2020,181941903
MC,MC,2018,32803738
MC,MC,2019,44048015
MC,MC,2020,36459289
Shell,Shell,2020,27580494
Shell,Shell,2021,6892856
Shell,Shell,2021,5023349
Union,Union,2020,33349199
